Number, CPU Timing (ms), High Resolution Clock (ms)
2,0.009,0.016,
3,0.003,0.002,
5,0.014,0.014,
7,0.206,0.205,
11,0.27,0.271,
13,0.17,0.17,
17,0.168,0.167,
19,0.307,0.306,
23,0.214,0.213,
29,0.721,0.721,
31,0.378,0.378,
37,0.208,0.208,
41,0.719,0.719,
43,0.231,0.232,
47,0.252,0.252,
53,0.229,0.228,
59,0.414,0.414,
61,0.414,0.413,
67,0.231,0.23,
71,0.887,0.887,
73,0.24,0.241,
79,0.348,0.349,
83,0.257,0.274,
89,0.376,0.397,
97,0.198,0.198,
101,0.347,0.353,
103,0.234,0.231,
107,0.262,0.269,
109,0.377,0.376,
113,0.208,0.208,
127,0.262,0.261,
131,0.318,0.318,
137,0.147,0.148,
139,0.64,0.644,
149,0.281,0.28,
151,0.316,0.315,
157,0.205,0.211,
163,0.181,0.181,
167,0.193,0.193,
173,0.131,0.13,
179,0.261,0.261,
181,0.535,0.533,
191,0.26,0.26,
193,0.146,0.147,
197,0.156,0.156,
199,0.261,0.261,
211,0.497,0.498,
223,0.15,0.15,
227,0.171,0.17,
229,0.262,0.262,
233,0.167,0.166,
239,0.611,0.612,
241,0.259,0.26,
251,0.789,0.841,
257,0.117,0.117,
263,0.149,0.149,
269,0.251,0.25,
271,0.268,0.269,
277,0.161,0.164,
281,0.578,0.597,
283,0.152,0.153,
293,0.142,0.14,
307,0.152,0.152,
311,0.283,0.282,
313,0.153,0.153,
317,0.164,0.164,
331,0.267,0.265,
337,0.148,0.148,
347,0.17,0.17,
349,0.628,0.627,
353,0.14,0.14,
359,0.28,0.281,
367,0.175,0.175,
373,0.163,0.163,
379,0.669,0.669,
383,0.227,0.238,
389,0.267,0.271,
397,0.142,0.142,
401,0.261,0.266,
409,0.272,0.271,
419,0.952,0.991,
421,0.686,0.7,
431,0.549,0.581,
433,0.206,0.215,
439,0.281,0.281,
443,0.217,0.216,
449,0.546,0.545,
457,0.181,0.216,
461,0.856,0.867,
463,0.209,0.213,
467,0.201,0.21,
479,0.356,0.374,
487,0.238,0.268,
491,0.711,0.725,
499,0.278,0.278,
503,0.201,0.202,
509,0.356,0.364,
521,0.226,0.225,
523,0.181,0.18,
541,0.259,0.259,
547,0.177,0.177,
557,0.15,0.15,
563,0.15,0.15,
569,0.296,0.296,
571,0.313,0.313,
577,0.165,0.167,
587,0.15,0.15,
593,0.14,0.14,
599,0.314,0.314,
601,0.612,0.611,
607,0.207,0.207,
613,0.152,0.152,
617,0.266,0.372,
619,0.37,0.388,
631,0.659,0.659,
641,0.225,0.226,
643,0.18,0.18,
647,0.188,0.189,
653,0.15,0.151,
659,0.826,0.826,
661,0.296,0.296,
673,0.139,0.139,
677,0.166,0.166,
683,0.196,0.196,
691,0.277,0.277,
701,0.658,0.659,
709,0.26,0.261,
719,0.296,0.296,
727,0.207,0.207,
733,0.171,0.17,
739,0.278,0.279,
743,0.207,0.207,
